Year,Herbivores,Carnivores,HerbivoreAvgFitness,CarnivoreAvgFitness,HerbivoreAvgAge,CarnivoreAvgAge,HerbivoreAvgWeight,CarnivoreAvgWeight
610,104,273,0.759138513770016,0.762725857849324,7.04807692307692,11.3846153846154,22.9663394570077,23.855077709139
611,103,306,0.782780727064152,0.749469467275574,7.61165048543689,10.3986928104575,24.131559806301,22.5111370167771
612,102,319,0.787006569415015,0.747318706048371,7.50980392156863,10.4388714733542,24.5328086971621,23.1388477095117
613,105,324,0.791197805493813,0.743263112180694,7.5047619047619,10.466049382716,24.6860073935363,22.9333520647209
614,110,339,0.771126589196815,0.739102709539705,7.75454545454545,10.4542772861357,23.6949900629522,23.2783634915512
615,113,334,0.77489974853103,0.756159333691043,8.20353982300885,10.3952095808383,23.7224397167528,23.867704572615
616,116,350,0.775026452314568,0.747191505378377,8.61206896551724,10.3542857142857,23.6094780746268,23.8783758859271
617,113,364,0.790617529256261,0.741043536805707,9.25663716814159,10.260989010989,24.4695020988546,23.7604234876362
618,111,361,0.80555414023237,0.745187459887962,9.96396396396396,10.6038781163435,25.5157526046992,24.2553382407771
619,117,367,0.78212140042585,0.742135776374729,9.77777777777778,10.5313351498638,24.4356687192499,24.4075955118991
620,122,368,0.765581154915889,0.745549265158995,9.71311475409836,10.9375,23.4686341533205,25.3035928759091
621,118,379,0.784798724535572,0.749009942962051,10.3305084745763,11.1108179419525,24.284661904628,25.4978312486187
622,112,367,0.810387627765578,0.759813479102331,11.1428571428571,11.3623978201635,25.953993215244,25.4083961031787
623,118,355,0.767577397671506,0.767691176740709,9.71186440677966,11.9323943661972,23.6683059242712,26.4673183892551
624,120,355,0.780204207813848,0.775084758539501,10.0083333333333,12.2169014084507,24.2181935019295,27.0971573325367
625,118,366,0.797313962131578,0.768434047164105,10.5169491525424,12.396174863388,24.9231111357086,27.1300841102577
626,117,391,0.770069020073172,0.756796913671156,9.88034188034188,11.9411764705882,23.5819080521658,25.8245979760895
627,109,396,0.790671649021564,0.751070891661741,10.2844036697248,11.7777777777778,24.6497616088211,24.1204247217074
628,110,394,0.782348425326279,0.751346522047547,10.2090909090909,11.7081218274112,24.2630910482533,22.7768498280656
629,115,405,0.777993190950609,0.747102086599751,10.104347826087,11.5827160493827,24.1104982159707,22.1032561592211
630,120,382,0.77748345850708,0.760740351519818,10.4,12.3429319371728,24.1181050750673,23.1742591488068
631,118,381,0.789432023448939,0.767618765804264,10.8559322033898,12.3884514435696,24.7811944740792,22.6668544573673
632,116,394,0.795189467038318,0.757854010731541,11.2241379310345,12.0964467005076,25.2248433568395,21.8828561682448
633,123,394,0.763690197541605,0.764333355005311,10.3983739837398,12.3527918781726,23.4912679230248,22.323820114779
634,121,409,0.786163245062651,0.759902293572437,11.0247933884298,12.1026894865526,24.5495694554485,21.618615338251
635,116,423,0.802914986124704,0.751405275105269,11.5172413793103,11.9432624113475,25.4197025593286,21.2102435837424
636,119,421,0.780801923784148,0.755080579999083,11.3193277310924,12.1852731591449,24.5434732135424,21.164047356608
637,122,420,0.777860964942202,0.753735323270447,11.516393442623,12.3904761904762,24.4494675202198,21.2654646846181
638,130,415,0.782219429953117,0.759404947158182,11.7923076923077,12.8168674698795,24.6123205416213,22.2375319948835
639,128,407,0.778287787703081,0.767963388649494,11.375,13.1990171990172,24.3517104386411,22.793998916386
640,132,417,0.780350837299987,0.766064919338023,11.469696969697,13.1438848920863,24.4895458804362,22.3359649358055
641,133,441,0.781748595941072,0.755003737000547,11.6917293233083,12.7074829931973,24.5248528682344,21.3568359831935
642,131,437,0.79519101073499,0.761587030532629,12.3511450381679,12.974828375286,25.4292688607411,21.7176054764439
643,130,458,0.779691526658728,0.752203519600673,12.0461538461538,12.6266375545852,24.6880662839892,20.8277138768529
